artifact,stage,index,order,path,wall_ms,sampled_peak_rss,materialize_ms,forward_ms,selected,engine_peak_weight_bytes,engine_process_ws_bytes
explicit,cold_process,0,streamed,streamed,9930.86039996706,345042944,1609.9410,8252.3139,28,240655104,249630720
explicit,warmup,0,full,full,10688.535499968566,668942336,5207.4849,5385.7930,28,,
explicit,warmup,0,streamed,streamed,9721.766700036824,270028800,1681.8912,7976.9769,28,240655104,249352192
explicit,measured,1,full_then_streamed,full,9627.112700021826,668950528,4784.1668,4747.3521,28,,
explicit,measured,1,full_then_streamed,streamed,9725.405999924988,264622080,1595.1795,8048.4041,28,240655104,249540608
explicit,measured,2,streamed_then_full,streamed,9927.695499965921,345042944,1666.7878,8194.8588,28,240655104,249630720
explicit,measured,2,streamed_then_full,full,9774.671699968167,667963392,4809.5179,4848.1232,28,,
explicit,measured,3,full_then_streamed,full,9752.261299989186,667959296,4822.1873,4786.2654,28,,
explicit,measured,3,full_then_streamed,streamed,10569.304600008763,297529344,1630.4080,8858.0990,28,240655104,249593856
tied,cold_process,0,streamed,streamed,7817.070099990815,135835648,839.2321,6920.9207,28,127408896,135835648
tied,warmup,0,full,full,7717.873899964616,548532224,4078.4159,3564.6189,28,,
tied,warmup,0,streamed,streamed,7663.963699946180,135839744,829.6523,6766.2718,28,127408896,135839744
tied,measured,1,full_then_streamed,full,9229.894099989906,547487744,4439.6358,4705.0790,28,,
tied,measured,1,full_then_streamed,streamed,8065.604100003839,136368128,822.3487,7180.1456,28,127408896,136368128
tied,measured,2,streamed_then_full,streamed,7866.049000062048,136368128,788.8377,7041.3736,28,127408896,136368128
tied,measured,2,streamed_then_full,full,7868.625700008124,547516416,3952.3510,3831.4626,28,,
tied,measured,3,full_then_streamed,full,7866.405899985693,547540992,3973.4478,3843.4809,28,,
tied,measured,3,full_then_streamed,streamed,7967.508000088856,135843840,805.4828,7093.2962,28,127408896,135843840
