artifact,path,repetition,wall_ms,materialize_ms,inference_ms,token1_ms,token2_ms,token3_ms,token4_ms,initial_bytes,total_backing_bytes,repeated_backing_bytes,reads,materializations,sequence
explicit,full,1,29393.3862,5819.8360,23306.6290,5112.8373,5167.2872,6020.2012,7006.3033,651306240,651306240,0,273,273,"[1 5 28 284 260 198]"
explicit,full,2,37595.9394,5464.9191,32008.0804,5018.8272,8240.0808,12865.9475,5883.2249,651306240,651306240,0,273,273,"[1 5 28 284 260 198]"
explicit,full,3,26575.0358,5643.2221,20808.2962,5081.5257,5121.8515,5333.2040,5271.7150,651306240,651306240,0,273,273,"[1 5 28 284 260 198]"
explicit,streamed,1,38651.7275,1961.7304,36583.7135,9270.9959,9003.4188,8992.4108,9316.8880,226494720,1925740800,1274434560,1083,1083,"[1 5 28 284 260 198]"
explicit,streamed,2,36717.2790,1850.2231,34761.8885,8491.5962,8579.1193,8736.5170,8954.6560,226494720,1925740800,1274434560,1083,1083,"[1 5 28 284 260 198]"
explicit,streamed,3,36544.8207,1796.5708,34624.2775,8592.7753,8569.3433,8749.1075,8713.0514,226494720,1925740800,1274434560,1083,1083,"[1 5 28 284 260 198]"
tied,full,1,22589.9684,4494.6329,18004.8984,4402.3963,4458.2192,4478.3943,4665.8886,538060032,538060032,0,272,272,"[1 5 28 284 260 198]"
tied,full,2,21663.6446,4437.2164,17133.1508,4254.7133,4211.1266,4289.6137,4377.6972,538060032,538060032,0,272,272,"[1 5 28 284 260 198]"
tied,full,3,22035.5210,4489.6286,17449.9654,4438.8184,4263.5887,4290.8603,4456.6980,538060032,538060032,0,272,272,"[1 5 28 284 260 198]"
tied,streamed,1,35706.9952,916.8150,34712.5223,8022.4281,8356.0346,9896.3589,8437.7007,113248512,1812494592,1274434560,1082,1082,"[1 5 28 284 260 198]"
tied,streamed,2,33315.5156,978.2913,32258.1700,7906.3210,8052.4895,8159.3128,8140.0467,113248512,1812494592,1274434560,1082,1082,"[1 5 28 284 260 198]"
tied,streamed,3,32806.6955,952.4531,31754.6060,7771.1328,7839.1771,8119.8780,8024.4181,113248512,1812494592,1274434560,1082,1082,"[1 5 28 284 260 198]"
