id,exit,staged,seconds,timestamp
V3-T001,0,plan_capture_good_20260611_011948_084.json,43,2026-06-10T18:20:32.3335668-07:00
V3-T002,0,plan_capture_good_20260611_012053_084.json,54,2026-06-10T18:21:47.7654065-07:00
V3-T003,0,plan_capture_good_20260611_012229_084.json,22,2026-06-10T18:22:50.9018758-07:00
V3-T004,0,plan_capture_good_20260611_012250_084.json,42,2026-06-10T18:23:32.7844070-07:00
V3-T005,0,plan_capture_good_20260611_012332_084.json,50,2026-06-10T18:24:22.3108077-07:00
V3-T006,0,plan_capture_good_20260611_012422_084.json,37,2026-06-10T18:24:59.6373631-07:00
V3-T007,0,plan_capture_good_20260611_012459_078.json,50,2026-06-10T18:25:49.2726105-07:00
V3-T008,0,plan_capture_good_20260611_012549_084.json,38,2026-06-10T18:26:26.8676218-07:00
V3-T009,0,plan_capture_good_20260611_012626_084.json,30,2026-06-10T18:26:56.9533972-07:00
V3-T010,0,plan_capture_good_20260611_012657_084.json,46,2026-06-10T18:27:42.7278347-07:00
V3-T011,0,plan_capture_good_20260611_012742_084.json,21,2026-06-10T18:28:03.5440594-07:00
V3-T012,0,plan_capture_good_20260611_012803_084.json,27,2026-06-10T18:28:30.6445302-07:00
V3-T013,0,plan_capture_good_20260611_012830_084.json,23,2026-06-10T18:28:53.2918245-07:00
V3-T014,0,plan_capture_good_20260611_012853_084.json,25,2026-06-10T18:29:18.4334615-07:00
V3-T015,0,plan_capture_good_20260611_012918_084.json,20,2026-06-10T18:29:38.8387322-07:00
V3-T016,0,plan_capture_good_20260611_012938_078.json,51,2026-06-10T18:30:30.1504124-07:00
V3-T017,0,plan_capture_good_20260611_013030_084.json,54,2026-06-10T18:31:24.2845742-07:00
V3-T018,0,plan_capture_good_20260611_013124_084.json,25,2026-06-10T18:31:48.8663299-07:00
V3-T019,0,plan_capture_good_20260611_013148_084.json,20,2026-06-10T18:32:09.1966595-07:00
V3-T020,0,plan_capture_good_20260611_013209_093.json,30,2026-06-10T18:32:38.7264008-07:00
V3-T021,0,plan_capture_good_20260611_013238_084.json,37,2026-06-10T18:33:15.9475400-07:00
V3-T022,0,plan_capture_good_20260611_013316_084.json,32,2026-06-10T18:33:47.7980865-07:00
V3-T023,0,plan_capture_good_20260611_013347_084.json,36,2026-06-10T18:34:24.2670017-07:00
V3-T024,0,plan_capture_good_20260611_013424_093.json,69,2026-06-10T18:35:32.9548881-07:00
V3-T025,0,plan_capture_good_20260611_013533_084.json,38,2026-06-10T18:36:10.8361013-07:00
V3-T026,0,plan_capture_good_20260611_013610_087.json,38,2026-06-10T18:36:49.2942968-07:00
V3-T027,0,plan_capture_good_20260611_013649_084.json,34,2026-06-10T18:37:23.0088258-07:00
V3-T028,0,plan_capture_good_20260611_013723_093.json,60,2026-06-10T18:38:23.0355966-07:00
V3-T029,0,plan_capture_good_20260611_013823_084.json,29,2026-06-10T18:38:52.2645982-07:00
V3-T030,0,plan_capture_good_20260611_013852_084.json,47,2026-06-10T18:39:38.8863464-07:00
V3-T031,0,plan_capture_good_20260611_013938_093.json,41,2026-06-10T18:40:20.3433873-07:00
V3-T032,0,plan_capture_good_20260611_014020_093.json,41,2026-06-10T18:41:01.8414281-07:00
V3-T033,0,plan_capture_good_20260611_014101_084.json,41,2026-06-10T18:41:43.1777067-07:00
V3-T034,0,plan_capture_good_20260611_014143_084.json,61,2026-06-10T18:42:44.5936608-07:00
V3-T035,0,plan_capture_good_20260611_014244_093.json,51,2026-06-10T18:43:35.3756733-07:00
V3-T036,0,plan_capture_good_20260611_014335_084.json,23,2026-06-10T18:43:58.2520285-07:00
V3-T037,0,plan_capture_good_20260611_014358_084.json,41,2026-06-10T18:44:38.8666647-07:00
V3-T038,0,plan_capture_good_20260611_014438_084.json,59,2026-06-10T18:45:37.5497319-07:00
V3-T039,0,plan_capture_good_20260611_014537_087.json,37,2026-06-10T18:46:14.6198411-07:00
V3-T040,0,plan_capture_good_20260611_014614_087.json,29,2026-06-10T18:46:43.2729444-07:00
V3-T041,0,plan_capture_good_20260611_014643_093.json,30,2026-06-10T18:47:12.8383429-07:00
V3-T042,0,plan_capture_good_20260611_014712_087.json,43,2026-06-10T18:47:56.1627437-07:00
V3-T043,0,plan_capture_good_20260611_014756_087.json,50,2026-06-10T18:48:46.6649424-07:00
V3-T044,0,plan_capture_good_20260611_014846_084.json,38,2026-06-10T18:49:24.5600795-07:00
V3-T045,0,plan_capture_good_20260611_014924_087.json,33,2026-06-10T18:49:57.5969816-07:00
V3-T046,0,plan_capture_good_20260611_014957_084.json,27,2026-06-10T18:50:24.7395036-07:00
V3-T047,0,plan_capture_good_20260611_015024_084.json,25,2026-06-10T18:50:49.6690475-07:00
V3-T048,0,plan_capture_bad_20260611_015049_000.json,22,2026-06-10T18:51:11.9750871-07:00
V3-T049,0,plan_capture_good_20260611_015112_084.json,37,2026-06-10T18:51:49.3572628-07:00
V3-T050,0,plan_capture_good_20260611_015149_084.json,19,2026-06-10T18:52:07.9688785-07:00
V3-T051,0,plan_capture_bad_20260611_015208_000.json,36,2026-06-10T18:52:44.1823000-07:00
V3-T052,0,plan_capture_good_20260611_015244_093.json,40,2026-06-10T18:53:24.1140684-07:00
V3-T053,0,plan_capture_good_20260611_015324_084.json,29,2026-06-10T18:53:53.6068423-07:00
V3-T054,0,plan_capture_good_20260611_015353_084.json,28,2026-06-10T18:54:21.4963719-07:00
V3-T055,0,plan_capture_good_20260611_015421_090.json,94,2026-06-10T18:55:55.1620179-07:00
V3-T056,0,plan_capture_good_20260611_015555_084.json,24,2026-06-10T18:56:18.7362787-07:00
V3-T057,0,plan_capture_good_20260611_015618_084.json,31,2026-06-10T18:56:50.2191518-07:00
V3-T058,0,plan_capture_good_20260611_015650_084.json,44,2026-06-10T18:57:34.1904532-07:00
V3-T059,0,plan_capture_good_20260611_015734_084.json,43,2026-06-10T18:58:17.3534547-07:00
V3-T060,0,plan_capture_good_20260611_015817_084.json,40,2026-06-10T18:58:57.2080408-07:00
V3-T061,0,plan_capture_good_20260611_015857_084.json,38,2026-06-10T18:59:35.6003743-07:00
V3-T062,0,plan_capture_good_20260611_015935_084.json,49,2026-06-10T19:00:24.4254714-07:00
V3-T063,0,plan_capture_bad_20260611_020024_000.json,27,2026-06-10T19:00:50.9635313-07:00
V3-T064,0,plan_capture_good_20260611_020051_093.json,19,2026-06-10T19:01:10.4170130-07:00
V3-T065,0,plan_capture_good_20260611_020110_084.json,28,2026-06-10T19:01:38.0910140-07:00
V3-T066,0,plan_capture_good_20260611_020138_084.json,39,2026-06-10T19:02:17.2914060-07:00
V3-T067,0,plan_capture_good_20260611_020217_093.json,23,2026-06-10T19:02:40.0427249-07:00
V3-T068,0,plan_capture_good_20260611_020240_087.json,21,2026-06-10T19:03:01.4400344-07:00
V3-T069,0,plan_capture_good_20260611_020301_084.json,21,2026-06-10T19:03:22.1699437-07:00
V3-T070,0,plan_capture_good_20260611_020322_095.json,23,2026-06-10T19:03:45.1536482-07:00
V3-T071,0,plan_capture_good_20260611_020345_078.json,23,2026-06-10T19:04:08.4439174-07:00
V3-T072,0,plan_capture_good_20260611_020408_084.json,21,2026-06-10T19:04:29.5272242-07:00
V3-T073,0,plan_capture_good_20260611_020429_093.json,30,2026-06-10T19:04:59.9032418-07:00
V3-T074,0,plan_capture_good_20260611_020459_087.json,37,2026-06-10T19:05:37.3536084-07:00
V3-T075,0,plan_capture_good_20260611_020537_084.json,22,2026-06-10T19:05:59.5154317-07:00
V3-T076,0,plan_capture_good_20260611_020559_084.json,35,2026-06-10T19:06:34.7752562-07:00
V3-T077,0,plan_capture_good_20260611_020634_084.json,25,2026-06-10T19:06:59.7257168-07:00
V3-T078,0,plan_capture_good_20260611_020659_084.json,17,2026-06-10T19:07:17.1418733-07:00
V3-T079,0,plan_capture_good_20260611_020717_084.json,24,2026-06-10T19:07:40.6967968-07:00
V3-T080,0,plan_capture_good_20260611_020740_078.json,23,2026-06-10T19:08:03.5951691-07:00
V3-T081,0,plan_capture_good_20260611_020803_084.json,28,2026-06-10T19:08:31.7069348-07:00
V3-T082,0,plan_capture_good_20260611_020831_090.json,39,2026-06-10T19:09:10.6609656-07:00
V3-T083,0,plan_capture_good_20260611_020910_084.json,30,2026-06-10T19:09:40.3517100-07:00
V3-T084,0,plan_capture_good_20260611_020940_075.json,77,2026-06-10T19:10:57.7034822-07:00
V3-T085,0,plan_capture_good_20260611_021057_087.json,49,2026-06-10T19:11:47.1689196-07:00
V3-T086,0,plan_capture_good_20260611_021147_093.json,92,2026-06-10T19:13:18.9007115-07:00
V3-T087,0,plan_capture_good_20260611_021318_078.json,68,2026-06-10T19:14:26.9590526-07:00
V3-T088,0,plan_capture_good_20260611_021427_087.json,40,2026-06-10T19:15:06.7396855-07:00
