id,exit,staged,seconds,timestamp
V3B-T001,0,plan_capture_good_20260611_024638_084.json,39,2026-06-10T19:47:17.2982716-07:00
V3B-T002,0,plan_capture_good_20260611_024717_084.json,30,2026-06-10T19:47:47.3632884-07:00
V3B-T003,0,plan_capture_good_20260611_024747_084.json,38,2026-06-10T19:48:25.7737882-07:00
V3B-T004,0,plan_capture_good_20260611_024825_084.json,36,2026-06-10T19:49:01.5705374-07:00
V3B-T005,0,plan_capture_good_20260611_024901_093.json,30,2026-06-10T19:49:31.7013627-07:00
V3B-T006,0,plan_capture_good_20260611_024931_084.json,22,2026-06-10T19:49:54.0436850-07:00
V3B-T007,0,plan_capture_good_20260611_024954_084.json,22,2026-06-10T19:50:15.5699236-07:00
V3B-T008,0,plan_capture_good_20260611_025015_084.json,34,2026-06-10T19:50:49.9396443-07:00
V3B-T009,0,plan_capture_good_20260611_025050_093.json,34,2026-06-10T19:51:23.7024276-07:00
V3B-T010,0,plan_capture_good_20260611_025123_084.json,68,2026-06-10T19:52:31.4049956-07:00
V3B-T011,0,plan_capture_good_20260611_025231_087.json,39,2026-06-10T19:53:10.9019035-07:00
V3B-T012,0,plan_capture_good_20260611_025310_084.json,29,2026-06-10T19:53:39.9737146-07:00
V3B-T013,0,plan_capture_good_20260611_025340_084.json,31,2026-06-10T19:54:10.7605407-07:00
V3B-T014,0,plan_capture_good_20260611_025410_093.json,23,2026-06-10T19:54:33.6072895-07:00
V3B-T015,0,plan_capture_good_20260611_025433_084.json,36,2026-06-10T19:55:09.1446996-07:00
V3B-T016,0,plan_capture_good_20260611_025509_084.json,58,2026-06-10T19:56:06.6745690-07:00
V3B-T017,0,plan_capture_good_20260611_025606_084.json,25,2026-06-10T19:56:31.6909199-07:00
V3B-T018,0,plan_capture_good_20260611_025631_084.json,32,2026-06-10T19:57:03.8057712-07:00
V3B-T019,0,plan_capture_good_20260611_025703_084.json,25,2026-06-10T19:57:28.6643240-07:00
V3B-T020,0,plan_capture_good_20260611_025728_087.json,53,2026-06-10T19:58:21.1841545-07:00
V3B-T021,0,plan_capture_good_20260611_025821_084.json,61,2026-06-10T19:59:22.1331510-07:00
V3B-T022,0,plan_capture_good_20260611_025922_084.json,36,2026-06-10T19:59:57.7705167-07:00
V3B-T023,0,plan_capture_good_20260611_025957_084.json,29,2026-06-10T20:00:26.6317473-07:00
V3B-T024,0,plan_capture_good_20260611_030026_084.json,35,2026-06-10T20:01:01.6108068-07:00
V3B-T025,0,plan_capture_good_20260611_030101_087.json,79,2026-06-10T20:02:20.6848487-07:00
V3B-T026,0,plan_capture_good_20260611_030220_084.json,46,2026-06-10T20:03:06.5290217-07:00
V3B-T027,0,plan_capture_good_20260611_030306_084.json,46,2026-06-10T20:03:52.8762560-07:00
V3B-T028,0,plan_capture_good_20260611_030352_084.json,39,2026-06-10T20:04:31.9043137-07:00
V3B-T029,0,plan_capture_good_20260611_030431_084.json,30,2026-06-10T20:05:02.0063949-07:00
V3B-T030,0,plan_capture_good_20260611_030502_084.json,36,2026-06-10T20:05:37.6785366-07:00
V3B-T031,0,plan_capture_good_20260611_030537_084.json,27,2026-06-10T20:06:04.2131772-07:00
V3B-T032,0,plan_capture_good_20260611_030604_084.json,36,2026-06-10T20:06:39.8108116-07:00
V3B-T033,0,plan_capture_good_20260611_030639_087.json,24,2026-06-10T20:07:03.7883003-07:00
V3B-T034,0,plan_capture_good_20260611_030703_084.json,32,2026-06-10T20:07:36.0771933-07:00
V3B-T035,0,plan_capture_good_20260611_030736_084.json,26,2026-06-10T20:08:02.1264024-07:00
